First Name,Last Name,Email,SSO,Account Role
Lela4,Lela4,Lela4@saama.com,On,Basic
Kameron.Volkman88,Kameron.Volkman88,Kameron.Volkman88@saama.com,On,Basic
Jonas_Torphy90,Jonas_Torphy90,Jonas_Torphy90@saama.com,On,Basic
Jaida.Hartmann87,Jaida.Hartmann87,Jaida.Hartmann87@saama.com,On,Basic
Chasity15,Chasity15,Chasity15@saama.com,On,Basic
Dock_Considine,Dock_Considine,Dock_Considine@saama.com,On,Basic
Trystan.Klocko,Trystan.Klocko,Trystan.Klocko@saama.com,On,Basic
Clara_Hilll,Clara_Hilll,Clara_Hilll@saama.com,On,Basic
Sandra_Cremin,Sandra_Cremin,Sandra_Cremin@saama.com,On,Basic
Raphael_MacGyver35,Raphael_MacGyver35,Raphael_MacGyver35@saama.com,On,Basic
Nellie_Grant,Nellie_Grant,Nellie_Grant@saama.com,On,Basic
Katelyn.Mohr26,Katelyn.Mohr26,Katelyn.Mohr26@saama.com,On,Basic
Rafael66,Rafael66,Rafael66@saama.com,On,Basic
Weldon61,Weldon61,Weldon61@saama.com,On,Basic
Hans88,Hans88,Hans88@saama.com,On,Basic
Osvaldo.Lind,Osvaldo.Lind,Osvaldo.Lind@saama.com,On,Basic
Davon_Hickle72,Davon_Hickle72,Davon_Hickle72@saama.com,On,Basic
Price_Heidenreich23,Price_Heidenreich23,Price_Heidenreich23@saama.com,On,Basic
Alexandra_Russel,Alexandra_Russel,Alexandra_Russel@saama.com,On,Basic
Quincy_Zboncak,Quincy_Zboncak,Quincy_Zboncak@saama.com,On,Basic
Maxwell12,Maxwell12,Maxwell12@saama.com,On,Basic
Beaulah95,Beaulah95,Beaulah95@saama.com,On,Basic
Queen24,Queen24,Queen24@saama.com,On,Basic
Hosea.Goodwin74,Hosea.Goodwin74,Hosea.Goodwin74@saama.com,On,Basic
Nicholas_Schroeder,Nicholas_Schroeder,Nicholas_Schroeder@saama.com,On,Basic
Erna.Ullrich,Erna.Ullrich,Erna.Ullrich@saama.com,On,Basic
Jewel79,Jewel79,Jewel79@saama.com,On,Basic
Leonard.Kilback,Leonard.Kilback,Leonard.Kilback@saama.com,On,Basic
Carlos.Crooks-Hamill,Carlos.Crooks-Hamill,Carlos.Crooks-Hamill@saama.com,On,Basic
